"Link_id","Direction","Date","Min_speed","Max_speed","Mean_speed","Stdev_speed","Skewness_speed","Kurtosis_speed","Entries","UniqueEntries"
163204843,1,"2017-01-27 13:00:00",40,40,40,NA,NA,NA,1,1
163204843,1,"2017-01-27 14:00:00",29,29,29,NA,NA,NA,1,1
163204843,1,"2017-01-27 18:15:00",43,43,43,NA,NA,NA,1,1
163204843,1,"2017-01-27 20:45:00",36,36,36,NA,NA,NA,1,1
163204843,1,"2017-01-27 21:45:00",35,35,35,NA,NA,NA,1,1
163204843,1,"2017-01-27 22:15:00",41,41,41,NA,NA,NA,1,1
163204843,1,"2017-01-28 00:00:00",35,35,35,NA,NA,NA,1,1
163204843,1,"2017-01-28 09:45:00",28,28,28,NA,NA,NA,1,1
163204843,1,"2017-01-28 10:45:00",18,18,18,NA,NA,NA,1,1
163204843,1,"2017-01-28 12:00:00",26,26,26,NA,NA,NA,1,1
163204843,1,"2017-01-28 12:15:00",17,17,17,NA,NA,NA,1,1
163204843,1,"2017-01-28 15:00:00",10,23,16,9.19238815542512,NA,NA,2,2
163204843,1,"2017-01-28 15:45:00",28,28,28,NA,NA,NA,1,1
163204843,1,"2017-01-28 16:45:00",24,24,24,NA,NA,NA,1,1
163204843,1,"2017-01-28 18:15:00",23,38,30,10.6066017177982,NA,NA,2,2
163204843,1,"2017-01-28 18:45:00",42,42,42,NA,NA,NA,1,1
163204843,1,"2017-01-28 22:30:00",30,30,30,NA,NA,NA,1,1
163204843,1,"2017-01-28 23:30:00",37,37,37,NA,NA,NA,1,1
163204843,1,"2017-01-29 08:00:00",47,47,47,NA,NA,NA,1,1
163204843,1,"2017-01-29 10:00:00",48,48,48,NA,NA,NA,1,1
163204843,1,"2017-01-29 19:30:00",29,29,29,NA,NA,NA,1,1
163204843,1,"2017-01-29 19:45:00",25,25,25,NA,NA,NA,1,1
163204843,1,"2017-01-29 22:45:00",23,23,23,NA,NA,NA,1,1
163204843,1,"2017-01-29 23:30:00",58,58,58,NA,NA,NA,1,1
163204843,1,"2017-01-30 10:45:00",20,20,20,NA,NA,NA,1,1
163204843,1,"2017-01-30 13:30:00",31,31,31,NA,NA,NA,1,1
163204843,1,"2017-01-30 14:30:00",36,36,36,NA,NA,NA,1,1
163204843,1,"2017-01-30 15:15:00",22,22,22,NA,NA,NA,1,1
163204843,1,"2017-01-30 16:15:00",19,19,19,NA,NA,NA,1,1
163204843,1,"2017-01-30 17:30:00",30,30,30,NA,NA,NA,1,1
163204843,1,"2017-01-30 20:00:00",37,37,37,NA,NA,NA,1,1
163204843,1,"2017-01-30 23:45:00",28,28,28,NA,NA,NA,1,1
163204843,1,"2017-01-31 11:15:00",41,41,41,NA,NA,NA,1,1
163204843,1,"2017-01-31 12:00:00",32,32,32,NA,NA,NA,1,1
163204843,1,"2017-01-31 13:15:00",34,34,34,NA,NA,NA,1,1
163204843,1,"2017-01-31 13:30:00",16,42,29,18.3847763108502,NA,NA,2,2
163204843,1,"2017-01-31 14:00:00",36,36,36,NA,NA,NA,1,1
163204843,1,"2017-01-31 15:45:00",22,22,22,NA,NA,NA,1,1
163204843,1,"2017-01-31 19:15:00",25,25,25,NA,NA,NA,1,1
