Link_id,Direction,AVG_Speed,Data_Availability_Percentage,Category
20227194,1,32,38,Medium (30 - 50]
20227291,1,30,63,Low [0-30]
20228466,1,29,32,Low [0-30]
20228466,2,30,40,Low [0-30]
20229915,1,43,16,Medium (30 - 50]
20229915,2,43,12,Medium (30 - 50]
20274781,1,16,0,Low [0-30]
20274781,2,16,0,Low [0-30]
20310889,1,22,60,Low [0-30]
20378405,1,59,80,High (51 - 80]
20378474,1,63,47,High (51 - 80]
20388520,1,23,0,Low [0-30]
20388520,2,19,0,Low [0-30]
20388527,1,31,1,Medium (30 - 50]
20388527,2,27,0,Low [0-30]
20392044,1,70,11,High (51 - 80]
20392053,1,63,14,High (51 - 80]
20392077,1,76,9,High (51 - 80]
20393032,1,29,37,Low [0-30]
20393163,1,26,87,Low [0-30]
20393467,1,24,52,Low [0-30]
20393598,NULL,NULL,0,NULL
20393886,1,34,69,Medium (30 - 50]
20393886,2,37,34,Medium (30 - 50]
20394085,1,12,0,Low [0-30]
20394085,2,12,0,Low [0-30]
20394234,1,20,0,Low [0-30]
20394234,2,22,0,Low [0-30]
20394488,1,21,86,Low [0-30]
20395154,1,35,95,Medium (30 - 50]
20395291,1,42,94,Medium (30 - 50]
20395355,1,39,95,Medium (30 - 50]
20395391,1,50,94,Medium (30 - 50]
20395407,NULL,NULL,0,NULL
20395768,1,28,5,Low [0-30]
20395768,2,28,16,Low [0-30]
20395919,1,17,38,Low [0-30]
20395927,1,23,9,Low [0-30]
20395980,1,30,69,Low [0-30]
20396289,1,31,42,Medium (30 - 50]
20396289,2,30,13,Low [0-30]
20397021,1,37,95,Medium (30 - 50]
20420010,1,28,45,Low [0-30]
20420095,1,33,74,Medium (30 - 50]
20420383,1,20,31,Low [0-30]
20420982,1,20,61,Low [0-30]
20422342,2,27,43,Low [0-30]
20423008,1,28,25,Low [0-30]
20841937,1,35,93,Medium (30 - 50]
21137381,1,99,14,Highest (80 +
21137387,1,97,1,Highest (80 +
21137420,1,97,20,Highest (80 +
21137426,1,94,1,Highest (80 +
21307259,1,102,1,Highest (80 +
21416013,1,22,32,Low [0-30]
21655334,1,24,2,Low [0-30]
21655334,2,19,2,Low [0-30]
21655337,1,34,41,Medium (30 - 50]
21655525,1,27,86,Low [0-30]
21655653,1,32,23,Medium (30 - 50]
21655653,2,30,19,Low [0-30]
21655876,1,34,44,Medium (30 - 50]
21655876,2,31,31,Medium (30 - 50]
21656002,1,16,0,Low [0-30]
21656002,2,22,0,Low [0-30]
21656237,1,35,21,Medium (30 - 50]
21656237,2,32,13,Medium (30 - 50]
21656331,1,23,0,Low [0-30]
21656331,2,26,0,Low [0-30]
21656337,1,42,41,Medium (30 - 50]
21656337,2,40,46,Medium (30 - 50]
21659768,1,33,85,Medium (30 - 50]
21660401,1,33,63,Medium (30 - 50]
21660401,2,31,65,Medium (30 - 50]
21714170,1,96,5,Highest (80 +
21714171,1,104,0,Highest (80 +
21714179,1,99,0,Highest (80 +
22569371,1,102,21,Highest (80 +
22569373,1,103,73,Highest (80 +
22569374,1,102,17,Highest (80 +
22569375,1,103,81,Highest (80 +
22597733,2,46,8,Medium (30 - 50]
22597734,1,43,68,Medium (30 - 50]
22597735,2,53,2,High (51 - 80]
22597736,2,33,23,Medium (30 - 50]
23199746,1,30,13,Low [0-30]
23199746,2,32,10,Medium (30 - 50]
23199747,1,30,3,Low [0-30]
23199747,2,31,5,Medium (30 - 50]
23206891,1,38,87,Medium (30 - 50]
23207080,1,26,92,Low [0-30]
25393186,1,15,19,Low [0-30]
26136588,1,63,13,High (51 - 80]
26136590,1,77,18,High (51 - 80]
26622527,1,22,60,Low [0-30]
27250157,1,102,15,Highest (80 +
27250165,1,104,12,Highest (80 +
27250168,1,97,14,Highest (80 +
27261390,1,81,3,Highest (80 +
27261401,1,91,1,Highest (80 +
27261405,1,94,6,Highest (80 +
27261824,1,87,22,Highest (80 +
27261839,NULL,NULL,0,NULL
27261840,1,37,4,Medium (30 - 50]
27261842,1,38,5,Medium (30 - 50]
27261843,1,37,4,Medium (30 - 50]
27261862,NULL,NULL,0,NULL
27261883,1,47,89,Medium (30 - 50]
27261960,1,33,88,Medium (30 - 50]
27261982,1,38,69,Medium (30 - 50]
27261983,1,29,41,Low [0-30]
27261987,1,25,54,Low [0-30]
27261988,1,42,60,Medium (30 - 50]
27262256,NULL,NULL,0,NULL
27262257,1,119,0,Highest (80 +
27262267,1,112,7,Highest (80 +
27882789,1,18,19,Low [0-30]
34109569,1,23,12,Low [0-30]
34122845,1,35,94,Medium (30 - 50]
34122846,1,38,94,Medium (30 - 50]
34204306,1,27,85,Low [0-30]
34234013,1,33,56,Medium (30 - 50]
34234013,2,35,38,Medium (30 - 50]
34234014,NULL,NULL,0,NULL
34240235,1,98,1,Highest (80 +
34375874,1,23,30,Low [0-30]
34376427,1,23,1,Low [0-30]
34376427,2,23,1,Low [0-30]
34388410,1,15,23,Low [0-30]
34388476,1,22,47,Low [0-30]
34389783,1,19,95,Low [0-30]
34389784,1,24,60,Low [0-30]
34389785,1,28,95,Low [0-30]
34389786,1,25,92,Low [0-30]
34389787,1,12,88,Low [0-30]
34389788,1,20,95,Low [0-30]
34389951,1,20,95,Low [0-30]
34390094,1,33,69,Medium (30 - 50]
34408356,NULL,NULL,0,NULL
34586063,1,95,63,Highest (80 +
34586064,1,89,18,Highest (80 +
34632062,1,90,82,Highest (80 +
34632087,1,99,80,Highest (80 +
34632088,1,104,5,Highest (80 +
34632091,1,88,14,Highest (80 +
34632092,1,100,64,Highest (80 +
34632656,1,89,85,Highest (80 +
34632657,1,87,36,Highest (80 +
34632659,1,89,34,Highest (80 +
34632709,1,87,31,Highest (80 +
34632710,1,56,34,High (51 - 80]
34632712,1,93,29,Highest (80 +
34632714,1,85,7,Highest (80 +
34632757,NULL,NULL,0,NULL
34632758,1,103,82,Highest (80 +
34632759,1,101,9,Highest (80 +
34632785,1,99,67,Highest (80 +
34632786,1,81,13,Highest (80 +
34632787,1,91,24,Highest (80 +
34632789,1,98,72,Highest (80 +
35192890,1,55,52,High (51 - 80]
35192892,1,60,21,High (51 - 80]
35192893,1,60,66,High (51 - 80]
35192898,1,49,59,Medium (30 - 50]
35192899,1,52,68,High (51 - 80]
35192910,1,48,43,Medium (30 - 50]
35192912,1,91,7,Highest (80 +
35192913,1,91,1,Highest (80 +
35192914,1,93,4,Highest (80 +
35192915,1,93,1,Highest (80 +
35354844,1,27,70,Low [0-30]
35354845,1,27,13,Low [0-30]
35354845,2,22,4,Low [0-30]
35354995,1,39,51,Medium (30 - 50]
35354996,1,38,79,Medium (30 - 50]
35354997,1,32,67,Medium (30 - 50]
35355043,1,25,76,Low [0-30]
35355046,1,26,86,Low [0-30]
35355047,1,37,95,Medium (30 - 50]
35355049,1,27,95,Low [0-30]
35355131,NULL,NULL,0,NULL
35355893,1,86,70,Highest (80 +
35355895,1,33,7,Medium (30 - 50]
35355895,2,32,13,Medium (30 - 50]
35355896,1,27,1,Low [0-30]
35355896,2,28,2,Low [0-30]
